Squad,Week,Home,Away,Player,Time
Bournemouth,1,Bournemouth,Sheffield Utd,Chris Mepham,62
Sheffield Utd,1,Bournemouth,Sheffield Utd,Billy Sharp,88
Burnley,1,Burnley,Southampton,Ashley Barnes,63
Burnley,1,Burnley,Southampton,Ashley Barnes,70
Burnley,1,Burnley,Southampton,Jóhann Berg Guðmundsson,75
Liverpool,1,Liverpool,Norwich City,Grant Hanley (OG),7
Liverpool,1,Liverpool,Norwich City,Mohamed Salah,19
Liverpool,1,Liverpool,Norwich City,Virgil van Dijk,28
Liverpool,1,Liverpool,Norwich City,Divock Origi,42
Norwich City,1,Liverpool,Norwich City,Teemu Pukki,64
Manchester Utd,1,Manchester Utd,Chelsea,Marcus Rashford (P),18
Manchester Utd,1,Manchester Utd,Chelsea,Anthony Martial,65
Manchester Utd,1,Manchester Utd,Chelsea,Marcus Rashford,67
Manchester Utd,1,Manchester Utd,Chelsea,Daniel James,81
Arsenal,1,Newcastle Utd,Arsenal,Pierre-Emerick Aubameyang,58
Tottenham,1,Tottenham,Aston Villa,Tanguy Ndombele,73
Tottenham,1,Tottenham,Aston Villa,Harry Kane,86
Tottenham,1,Tottenham,Aston Villa,Harry Kane,90
Aston Villa,1,Tottenham,Aston Villa,John McGinn,9
Brighton,1,Watford,Brighton,Abdoulaye Doucouré (OG),28
Brighton,1,Watford,Brighton,Florin Andone,65
Brighton,1,Watford,Brighton,Neal Maupay,77
Manchester City,1,West Ham,Manchester City,Gabriel Jesus,25
Manchester City,1,West Ham,Manchester City,Raheem Sterling,51
Manchester City,1,West Ham,Manchester City,Raheem Sterling,75
Manchester City,1,West Ham,Manchester City,Sergio Agüero (P),86
Manchester City,1,West Ham,Manchester City,Raheem Sterling,90+1
Arsenal,2,Arsenal,Burnley,Alexandre Lacazette,13
Arsenal,2,Arsenal,Burnley,Pierre-Emerick Aubameyang,64
Burnley,2,Arsenal,Burnley,Ashley Barnes,43
Aston Villa,2,Aston Villa,Bournemouth,Douglas Luiz,71
Bournemouth,2,Aston Villa,Bournemouth,Joshua King (P),2
Bournemouth,2,Aston Villa,Bournemouth,Harry Wilson,12
Brighton,2,Brighton,West Ham,Leandro Trossard,65
West Ham,2,Brighton,West Ham,Javier Hernández,61
Chelsea,2,Chelsea,Leicester City,Mason Mount,7
Leicester City,2,Chelsea,Leicester City,Wilfred Ndidi,67
Everton,2,Everton,Watford,Bernard,10
Manchester City,2,Manchester City,Tottenham,Raheem Sterling,20
Manchester City,2,Manchester City,Tottenham,Sergio Agüero,35
Tottenham,2,Manchester City,Tottenham,Érik Lamela,23
Tottenham,2,Manchester City,Tottenham,Lucas Moura,56
Norwich City,2,Norwich City,Newcastle Utd,Teemu Pukki,32
Norwich City,2,Norwich City,Newcastle Utd,Teemu Pukki,63
Norwich City,2,Norwich City,Newcastle Utd,Teemu Pukki,75
Newcastle Utd,2,Norwich City,Newcastle Utd,Jonjo Shelvey,90+3
Sheffield Utd,2,Sheffield Utd,Crystal Palace,John Lundstram,47
Southampton,2,Southampton,Liverpool,Danny Ings,83
Liverpool,2,Southampton,Liverpool,Sadio Mané,45+1
Liverpool,2,Southampton,Liverpool,Roberto Firmino,71
Wolves,2,Wolves,Manchester Utd,Rúben Neves,55
Manchester Utd,2,Wolves,Manchester Utd,Anthony Martial,27
Aston Villa,3,Aston Villa,Everton,Wesley Moraes,21
Aston Villa,3,Aston Villa,Everton,Anwar El Ghazi,90+5
Bournemouth,3,Bournemouth,Manchester City,Harry Wilson,45+3
Manchester City,3,Bournemouth,Manchester City,Sergio Agüero,15
Manchester City,3,Bournemouth,Manchester City,Raheem Sterling,43
Manchester City,3,Bournemouth,Manchester City,Sergio Agüero,64
Southampton,3,Brighton,Southampton,Moussa Djenepo,55
Southampton,3,Brighton,Southampton,Nathan Redmond,90+1
Liverpool,3,Liverpool,Arsenal,Joël Matip,41
