Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Player Link
Patrick van Aanholt,nl NED,DF,Crystal Palace,30-139,1990,9.2,1.30,0.87,0.76,0.54,0.00,0.65,1.20,54.5,0.54,7.93,2.93,37.0,4.78,2.17,0.98,1.09,0.22,0.00,0.87,1.63,2.93,1.52,0.11,/en/players/5f09991f/Patrick-van-Aanholt
Tammy Abraham,eng ENG,FW,Chelsea,23-105,1997,8.7,0.57,0.23,0.11,0.34,0.11,0.00,0.34,0.0,0.34,13.0,2.99,23.0,0.92,5.63,6.44,0.80,0.23,0.00,0.57,0.23,0.80,1.26,0.00,/en/players/f586779e/Tammy-Abraham
Che Adams,eng ENG,FW,Southampton,24-186,1996,15.0,1.13,0.53,0.27,0.53,0.33,0.20,0.93,21.4,0.73,12.9,4.33,33.7,1.80,4.33,6.73,0.60,0.07,0.00,0.53,0.20,1.33,0.73,0.00,/en/players/f2bf1b0f/Che-Adams
Tosin Adarabioyo,eng ENG,DF,Fulham,23-113,1997,12.0,1.83,1.08,1.58,0.25,0.00,0.75,1.08,69.2,0.33,5.25,1.67,31.7,4.17,1.00,0.08,0.75,0.50,0.00,0.25,1.25,3.08,6.67,0.08,/en/players/c81d773d/Tosin-Adarabioyo
Adrián,es ESP,GK,Liverpool,34-012,1987,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.50,0.00,0.0,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,/en/players/f76e6b4e/Adrian
Sergio Agüero,ar ARG,FW,Manchester City,32-227,1988,1.6,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.0,0.63,11.9,2.50,21.1,2.50,1.88,7.50,1.88,0.00,0.00,1.88,0.00,0.00,0.63,0.00,/en/players/4d034881/Sergio-Aguero
Ola Aina,ng NGA,DF,Fulham,24-099,1996,13.0,1.77,0.92,1.08,0.54,0.15,0.54,1.31,41.2,0.77,8.00,2.08,26.0,4.23,3.00,0.77,1.38,0.23,0.00,1.15,1.46,3.23,3.46,0.00,/en/players/246d153b/Ola-Aina
Rayan Aït Nouri,fr FRA,DF,Wolves,19-223,2001,6.9,1.88,0.87,0.72,1.01,0.14,1.01,1.88,53.8,0.87,13.3,3.77,28.3,6.09,5.22,2.03,1.45,0.00,0.00,1.45,0.87,2.75,2.32,0.00,/en/players/9b398aea/Rayan-Ait-Nouri
Semi Ajayi,ng NGA,DF,West Brom,27-067,1993,16.0,2.31,1.63,1.69,0.50,0.13,0.56,1.13,50.0,0.56,11.6,4.81,41.4,7.81,3.25,0.56,2.06,1.19,0.06,0.88,0.94,3.25,4.06,0.06,/en/players/d6192210/Semi-Ajayi
Nathan Aké,nl NED,DF,Manchester City,25-332,1995,5.2,0.96,0.38,0.58,0.19,0.19,0.38,0.38,100.0,0.00,5.58,2.12,37.9,1.73,2.69,1.15,0.77,0.19,0.00,0.58,0.58,1.54,2.69,0.00,/en/players/eaeca114/Nathan-Ake
Marc Albrighton,eng ENG,"DF,FW",Leicester City,31-058,1989,7.8,2.05,1.54,1.03,0.77,0.26,0.77,1.92,40.0,1.15,17.7,7.69,43.5,7.05,5.90,4.74,2.05,0.26,0.13,1.79,1.28,3.33,1.79,0.00,/en/players/b827d5b3/Marc-Albrighton
Thiago Alcántara,es ESP,MF,Liverpool,29-279,1991,2.7,2.22,2.22,0.74,1.48,0.00,1.11,2.22,50.0,1.11,13.0,4.07,31.4,2.22,7.78,2.96,1.11,0.00,0.00,1.11,1.48,3.70,1.11,0.00,/en/players/77e84962/Thiago-Alcantara
Toby Alderweireld,be BEL,DF,Tottenham,31-319,1989,10.9,1.74,0.55,1.10,0.64,0.00,0.83,1.19,69.2,0.37,8.53,2.57,30.1,5.96,2.57,0.00,2.02,1.28,0.00,0.73,0.09,1.83,6.42,0.00,/en/players/f7d50789/Toby-Alderweireld
Trent Alexander-Arnold,eng ENG,DF,Liverpool,22-100,1998,13.5,1.48,0.74,0.67,0.59,0.22,0.89,1.33,66.7,0.44,8.67,2.89,33.3,3.26,2.96,2.44,1.11,0.15,0.00,0.96,0.52,2.00,1.33,0.07,/en/players/cd1acf9d/Trent-Alexander-Arnold
Ezgjan Alioski,mk MKD,"DF,MF",Leeds United,28-338,1992,10.8,2.22,1.11,0.65,1.30,0.28,0.28,1.85,15.0,1.57,16.2,4.72,29.1,7.13,6.48,2.59,1.94,0.46,0.00,1.48,1.20,3.43,1.76,0.00,/en/players/1a7fcf39/Ezgjan-Alioski
Alisson,br BRA,GK,Liverpool,28-105,1992,14.0,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.0,0.07,0.14,0.00,0.0,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,/en/players/7a2e46a8/Alisson
Allan,br BRA,MF,Everton,30-007,1991,11.4,3.16,2.11,1.40,1.58,0.18,1.14,3.95,28.9,2.81,27.1,7.81,28.8,11.9,13.5,1.67,2.02,0.53,0.00,1.49,0.61,3.77,1.14,0.00,/en/players/cc700722/Allan
Dele Alli,eng ENG,"MF,FW",Tottenham,24-279,1996,0.9,2.22,1.11,2.22,0.00,0.00,1.11,1.11,100.0,0.00,42.2,7.78,18.4,6.67,18.9,16.7,0.00,0.00,0.00,0.00,1.11,3.33,1.11,0.00,/en/players/cea4ee8f/Dele-Alli
Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,26-340,1994,9.4,1.91,0.96,1.06,0.64,0.21,0.53,2.34,22.7,1.81,19.3,3.83,19.9,7.55,7.34,4.36,1.91,0.11,0.00,1.81,1.17,3.09,1.17,0.11,/en/players/862a1c15/Miguel-Almiron
Marcos Alonso,es ESP,DF,Chelsea,30-018,1990,2.5,0.40,0.00,0.00,0.40,0.00,0.00,1.20,0.0,1.20,14.8,4.40,29.7,8.80,4.40,1.60,3.20,0.40,0.00,2.80,0.40,0.80,4.00,0.00,/en/players/f4290206/Marcos-Alonso
Steven Alzate,co COL,MF,Brighton,22-129,1998,5.8,2.07,1.72,1.38,0.34,0.34,0.34,0.86,40.0,0.52,16.9,6.21,36.7,5.52,7.59,3.79,2.24,0.17,0.00,2.07,0.52,2.59,0.34,0.17,/en/players/ad1f61f3/Steven-Alzate
Daniel Amartey,gh GHA,DF,Leicester City,26-025,1994,2.9,0.69,0.34,0.00,0.34,0.34,0.34,1.03,33.3,0.69,8.62,2.41,28.0,4.48,3.10,1.03,1.38,0.34,0.00,1.03,1.03,1.72,4.14,0.00,/en/players/1a4ef233/Daniel-Amartey
Ethan Ampadu,wal WAL,"MF,DF",Sheffield Utd,20-123,2000,10.8,3.15,1.94,1.20,1.57,0.37,1.02,2.50,40.7,1.48,17.1,5.37,31.4,7.69,6.85,2.59,1.94,0.65,0.00,1.30,1.11,4.26,3.52,0.00,/en/players/10b9fa99/Ethan-Ampadu
Joachim Andersen,dk DEN,DF,Fulham,24-229,1996,9.7,1.03,0.72,0.72,0.21,0.10,0.41,0.93,44.4,0.52,5.46,1.86,34.0,3.81,1.44,0.21,1.44,0.72,0.00,0.72,1.03,2.06,5.77,0.00,/en/players/e34fc66d/Joachim-Andersen
Felipe Anderson,br BRA,"FW,MF",West Ham,27-275,1993,0.0,1,1,0,1,0,0,2,0.0,2,3,1,33.3,1,2,0,0,0,0,0,0,1,0,0,/en/players/9f1893b9/Felipe-Anderson
Michail Antonio,eng ENG,FW,West Ham,30-293,1990,6.4,0.47,0.31,0.00,0.47,0.00,0.00,0.63,0.0,0.63,13.6,4.38,32.2,0.16,6.09,7.34,0.63,0.31,0.00,0.31,0.47,0.94,0.31,0.00,/en/players/ac05f970/Michail-Antonio
